序号,冲突装备1,冲突装备2,事件重叠次数
1,A001,B001,1
2,A001,C002,1
3,A001,C012,1
4,A001,C022,1
5,A002,B010,1
6,A002,C009,1
7,A002,C010,1
8,A002,C019,1
9,A002,C029,1
10,A003,B009,2
11,A003,C008,2
12,A003,C018,1
13,A003,C028,1
14,A004,B009,1
15,A004,B014,1
16,A004,B018,1
17,A004,C016,1
18,A004,C017,1
19,A004,C027,1
20,A005,B007,1
21,A005,B012,1
22,A005,C014,1
23,A005,C024,1
24,A005,C054,1
25,A006,B004,1
26,A006,B008,1
27,A006,C006,1
28,A007,B011,1
29,A007,B022,1
30,A007,C023,1
31,A007,C053,1
32,A008,C028,1
33,A008,C038,1
34,A008,C039,1
35,A008,C049,1
36,A008,C058,1
37,A008,C059,1
38,A009,B012,1
39,A009,C033,2
40,A009,C043,1
41,A009,C053,1
42,A009,C054,1
43,A010,C027,1
44,A010,C037,1
45,A010,C057,1
46,A011,B027,1
47,A011,C034,1
48,A011,C044,1
49,A011,C074,1
50,A012,B024,1
51,A012,B028,1
52,A012,C036,1
53,A012,C046,1
54,A012,C056,1
55,A012,C076,1
56,A013,B016,1
57,A013,C022,1
58,A013,C032,1
59,A013,C041,1
60,A013,C052,1
61,A014,C040,1
62,A014,C050,1
63,A014,C070,1
64,A014,C080,1
65,A014,C090,1
66,A015,B030,2
67,A015,C067,1
68,A015,C077,1
69,A015,C078,2
70,A016,C067,1
71,A016,C087,1
72,A017,B033,1
73,A017,C065,1
74,A017,C075,2
75,A017,C085,1
76,A018,B028,1
77,A018,B033,1
78,A018,C065,1
79,A018,C066,1
80,A018,C076,1
81,A018,C085,1
82,A019,C073,1
83,A019,C082,1
84,A020,C039,1
85,A020,C069,1
86,A020,C079,1
87,A020,C089,1
88,B001,C001,2
89,B001,C002,1
90,B001,C012,1
91,B002,B011,1
92,B002,C003,2
93,B002,C013,2
94,B002,C014,1
95,B003,C004,1
96,B003,C005,1
97,B003,C015,1
98,B003,C024,1
99,B004,C016,1
100,B004,C017,1
101,B004,C027,1
102,B005,C009,1
103,B005,C010,1
104,B005,C019,1
105,B005,C029,1
106,B005,C030,1
107,B006,C001,1
108,B006,C011,2
109,B006,C012,1
110,B006,C021,1
111,B006,C051,1
112,B006,C052,1
113,B007,C004,1
114,B007,C013,1
115,B007,C014,1
116,B007,C024,2
117,B008,C006,1
118,B008,C015,2
119,B008,C016,1
120,B008,C025,1
121,B008,C026,1
122,B008,C055,1
123,B009,C008,2
124,B009,C017,2
125,B009,C018,1
126,B009,C027,2
127,B009,C028,1
128,B009,C057,1
129,B010,C009,1
130,B010,C010,1
131,B010,C030,1
132,B011,C012,1
133,B011,C013,1
134,B011,C023,1
135,B011,C043,1
136,B011,C053,2
137,B012,C024,1
138,B012,C025,1
139,B012,C054,1
140,B013,B018,3
141,B013,B023,1
