装备编号,类别,冲突度,是否涉及冲突
A001,A,4,1
A002,A,5,1
A003,A,4,1
A004,A,6,1
A005,A,5,1
A006,A,3,1
A007,A,4,1
A008,A,6,1
A009,A,5,1
A010,A,3,1
A011,A,4,1
A012,A,6,1
A013,A,5,1
A014,A,5,1
A015,A,4,1
A016,A,2,1
A017,A,4,1
A018,A,6,1
A019,A,2,1
A020,A,4,1
B001,B,4,1
B002,B,4,1
B003,B,4,1
B004,B,4,1
B005,B,5,1
B006,B,6,1
B007,B,5,1
B008,B,7,1
B009,B,8,1
B010,B,4,1
B011,B,7,1
B012,B,5,1
B013,B,7,1
B014,B,6,1
B015,B,6,1
B016,B,8,1
B017,B,4,1
B018,B,7,1
B019,B,3,1
B020,B,5,1
B021,B,7,1
B022,B,6,1
B023,B,7,1
B024,B,8,1
B025,B,2,1
B026,B,5,1
B027,B,8,1
B028,B,7,1
B029,B,7,1
B030,B,8,1
B031,B,6,1
B032,B,3,1
B033,B,6,1
B034,B,5,1
B035,B,7,1
B036,B,2,1
B037,B,5,1
B038,B,5,1
B039,B,4,1
B040,B,5,1
C001,C,2,1
C002,C,2,1
C003,C,1,1
C004,C,2,1
C005,C,2,1
C006,C,2,1
C007,C,0,0
C008,C,2,1
C009,C,3,1
C010,C,3,1
C011,C,1,1
C012,C,4,1
C013,C,3,1
C014,C,4,1
C015,C,3,1
C016,C,3,1
C017,C,4,1
C018,C,3,1
C019,C,4,1
C020,C,1,1
C021,C,3,1
C022,C,4,1
C023,C,3,1
C024,C,4,1
C025,C,5,1
C026,C,3,1
C027,C,6,1
C028,C,6,1
C029,C,4,1
C030,C,3,1
C031,C,4,1
C032,C,3,1
C033,C,6,1
C034,C,2,1
C035,C,1,1
C036,C,4,1
C037,C,4,1
C038,C,4,1
C039,C,4,1
C040,C,2,1
C041,C,3,1
C042,C,4,1
C043,C,6,1
C044,C,3,1
C045,C,2,1
C046,C,3,1
C047,C,2,1
C048,C,3,1
C049,C,5,1
C050,C,2,1
C051,C,5,1
C052,C,4,1
C053,C,4,1
C054,C,5,1
C055,C,4,1
C056,C,3,1
C057,C,4,1
C058,C,4,1
C059,C,2,1
C060,C,0,0
C061,C,3,1
C062,C,2,1
C063,C,2,1
C064,C,2,1
C065,C,4,1
C066,C,2,1
C067,C,5,1
C068,C,3,1
C069,C,5,1
C070,C,4,1
C071,C,3,1
C072,C,2,1
C073,C,4,1
C074,C,4,1
C075,C,5,1
C076,C,8,1
C077,C,5,1
C078,C,4,1
C079,C,4,1
C080,C,1,1
C081,C,1,1
C082,C,1,1
C083,C,1,1
C084,C,1,1
C085,C,3,1
C086,C,5,1
C087,C,2,1
C088,C,2,1
C089,C,2,1
C090,C,3,1
