频率单元,占用时间单元数
0,72
1,72
2,216
3,180
4,180
5,99
6,114
7,114
8,114
9,114
10,129
11,153
12,153
13,153
14,129
15,114
16,147
17,171
18,159
19,135
20,120
21,168
22,264
23,192
24,168
25,114
26,126
27,174
28,174
29,174
30,171
31,186
32,210
33,210
34,210
35,195
36,195
37,195
38,195
39,195
40,129
41,126
42,174
43,198
44,198
45,111
46,159
47,183
48,159
49,135
50,132
51,132
52,210
53,162
54,234
55,198
56,174
57,150
58,150
59,150
60,180
61,180
62,165
63,165
64,165
65,168
66,168
67,192
68,192
69,192
70,126
71,150
72,183
73,159
74,135
75,171
76,183
77,183
78,123
79,123
80,138
81,138
82,153
83,153
84,153
85,138
86,138
87,138
88,138
89,138
90,111
91,123
92,132
93,192
94,216
95,216
96,192
97,144
98,120
99,24
