时间单元,占用频率单元数
0,0
1,0
2,3
3,3
4,10
5,10
6,10
7,10
8,13
9,3
10,0
11,0
12,3
13,3
14,0
15,15
16,15
17,15
18,3
19,3
20,0
21,15
22,18
23,18
24,0
25,3
26,3
27,18
28,21
29,24
30,21
31,21
32,24
33,6
34,3
35,3
36,3
37,3
38,6
39,19
40,19
41,19
42,19
43,16
44,3
45,28
46,28
47,28
48,16
49,19
50,9
51,9
52,9
53,6
54,3
55,3
56,3
57,3
58,21
59,39
60,39
61,24
62,24
63,21
64,36
65,24
66,21
67,3
68,6
69,19
70,34
71,34
72,34
73,31
74,21
75,37
76,19
77,13
78,16
79,19
80,12
81,12
82,9
83,6
84,6
85,27
86,27
87,21
88,24
89,27
90,27
91,12
92,12
93,9
94,6
95,30
96,30
97,21
98,9
99,12
100,22
101,37
102,52
103,52
104,44
105,40
106,40
107,46
108,34
109,27
110,22
111,22
112,22
113,37
114,37
115,33
116,30
117,21
118,24
119,12
120,12
121,12
122,12
123,12
124,27
125,36
126,33
127,6
128,24
129,37
130,37
131,37
132,37
133,40
134,25
135,31
136,28
137,16
138,34
139,27
140,37
141,22
142,22
143,25
144,40
145,48
146,45
147,24
148,27
149,21
150,39
151,24
152,21
153,12
154,12
155,33
156,45
157,39
158,27
159,21
160,21
161,21
162,6
163,12
164,12
165,28
166,25
167,34
168,40
169,44
170,31
171,49
172,49
173,37
174,27
175,53
176,50
177,29
178,35
179,29
180,21
181,39
182,39
183,27
184,24
185,30
186,40
187,19
188,40
189,34
190,31
191,24
192,24
193,27
194,19
195,22
196,22
197,34
198,61
199,45
200,18
201,6
202,27
203,30
204,27
205,25
206,19
207,16
208,28
209,22
210,18
211,31
212,34
213,40
214,55
215,52
216,24
217,9
218,21
219,30
220,18
221,21
222,12
223,30
224,42
225,42
226,24
227,24
228,46
229,40
230,23
231,26
232,32
233,25
234,19
235,24
236,24
237,24
238,21
239,15
240,28
241,46
242,52
243,40
244,19
245,21
246,24
247,27
248,18
249,12
250,6
251,19
252,25
253,40
254,31
255,31
256,24
257,27
258,33
259,22
260,16
261,19
262,40
263,43
264,27
265,19
266,34
267,31
268,40
269,25
270,21
271,24
272,43
273,31
274,22
275,19
276,29
277,16
278,40
279,40
280,31
281,9
282,18
283,39
284,45
285,39
286,24
287,6
288,27
289,27
290,21
291,6
292,15
293,34
294,28
295,37
296,34
297,31
298,12
299,27
300,31
301,31
302,25
303,37
304,31
305,34
306,34
307,49
308,37
309,52
310,36
311,39
312,33
313,42
314,36
315,24
316,19
317,22
318,19
319,16
320,16
321,24
322,30
323,39
324,18
325,6
326,27
327,33
328,27
329,6
330,16
331,34
332,40
333,46
334,28
335,9
336,9
337,40
338,49
339,43
340,31
341,32
342,40
343,43
344,43
345,19
346,12
347,18
348,34
349,28
350,46
351,37
352,40
353,33
354,33
355,24
356,12
357,33
358,34
359,28
360,16
361,25
362,25
363,15
364,33
365,34
366,34
367,25
368,22
369,16
370,3
371,12
372,12
373,12
374,18
375,34
376,34
377,40
378,22
379,16
380,18
381,42
382,42
383,27
384,30
385,46
386,52
387,43
388,22
389,19
390,3
391,15
392,15
393,24
394,30
395,31
396,40
397,46
398,40
399,22
400,18
401,30
402,40
403,16
404,22
405,19
406,28
407,21
408,15
409,12
410,3
411,15
412,15
413,16
414,19
415,44
416,56
417,56
418,40
419,37
420,21
421,18
422,15
423,18
424,51
425,69
426,63
427,63
428,60
429,57
430,31
431,25
432,32
433,26
434,29
435,19
436,43
437,30
438,27
439,27
440,31
441,43
442,25
443,31
444,34
445,27
446,18
447,24
448,24
449,27
450,19
451,44
452,38
453,26
454,26
455,22
456,21
457,24
458,39
459,45
460,27
461,36
462,45
463,36
464,21
465,12
466,33
467,36
468,54
469,45
470,57
471,66
472,60
473,21
474,6
475,12
476,18
477,21
478,37
479,43
480,32
481,38
482,35
483,19
484,19
485,40
486,58
487,46
488,34
489,25
490,27
491,33
492,33
493,12
494,9
495,30
496,33
497,34
498,22
499,25
500,37
501,58
502,48
503,24
504,21
505,55
506,55
507,34
508,22
509,19
510,27
511,45
512,42
513,54
514,36
515,55
516,32
517,26
518,29
519,26
520,37
521,30
522,27
523,9
524,6
525,15
526,12
527,6
528,27
529,24
530,27
531,18
532,15
533,24
534,21
535,27
536,9
537,6
538,27
539,24
540,24
541,15
542,15
543,24
544,36
545,52
546,34
547,16
548,37
549,34
550,34
551,25
552,25
553,31
554,43
555,42
556,39
557,21
558,27
559,9
560,9
561,12
562,22
563,31
564,28
565,34
566,16
567,6
568,12
569,9
570,6
571,21
572,24
573,21
574,3
575,6
576,18
577,21
578,27
579,6
580,3
581,31
582,34
583,31
584,13
585,16
586,18
587,21
588,27
589,6
590,3
591,21
592,24
593,21
594,3
595,6
596,3
597,6
598,9
599,3
600,3
601,6
602,6
603,3
604,0
605,3
606,18
607,21
608,24
609,3
610,3
611,6
612,3
613,0
614,15
615,28
616,28
617,13
618,16
619,13
620,3
621,6
622,3
623,0
624,15
625,18
626,18
627,0
628,3
629,3
630,0
631,3
632,3
633,0
634,0
635,3
636,3
637,0
638,3
639,3
640,0
641,3
642,3
