时间单元,频率单元
2,32
2,33
2,34
3,32
3,33
3,34
4,40
4,41
4,42
4,43
4,44
4,45
4,46
4,47
4,48
4,49
5,40
5,41
5,42
5,43
5,44
5,45
5,46
5,47
5,48
5,49
6,40
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,48
6,49
7,40
7,41
7,42
7,43
7,44
7,45
7,46
7,47
7,48
7,49
8,2
8,3
8,4
8,40
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
8,49
9,2
9,3
9,4
12,32
12,33
12,34
13,32
13,33
13,34
15,78
15,79
15,80
15,81
15,82
15,83
15,84
15,85
15,86
15,87
15,88
15,89
15,90
15,91
15,92
16,78
16,79
16,80
16,81
16,82
16,83
16,84
16,85
16,86
16,87
16,88
16,89
16,90
16,91
16,92
17,78
17,79
17,80
17,81
17,82
17,83
17,84
17,85
17,86
17,87
17,88
17,89
17,90
17,91
17,92
18,2
18,3
18,4
19,2
19,3
19,4
21,5
21,6
21,7
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,15
21,16
21,17
21,18
21,19
22,5
22,6
22,7
22,8
22,9
22,10
22,11
22,12
22,13
22,14
22,15
22,16
22,17
22,18
22,19
22,32
22,33
22,34
23,5
23,6
23,7
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,17
23,18
23,19
23,32
23,33
23,34
25,53
25,54
25,55
26,53
26,54
26,55
27,57
27,58
27,59
27,60
27,61
27,62
27,63
27,64
27,65
27,66
27,67
27,68
27,69
27,70
27,71
27,75
27,76
27,77
28,2
28,3
28,4
28,57
28,58
28,59
28,60
28,61
28,62
28,63
28,64
28,65
28,66
28,67
28,68
28,69
28,70
28,71
28,75
28,76
28,77
29,2
29,3
29,4
29,20
29,21
29,22
29,57
29,58
29,59
29,60
29,61
29,62
29,63
29,64
29,65
29,66
29,67
29,68
29,69
29,70
29,71
29,75
29,76
29,77
30,20
30,21
30,22
30,57
30,58
30,59
30,60
30,61
30,62
30,63
30,64
30,65
30,66
30,67
30,68
30,69
30,70
30,71
30,75
30,76
30,77
31,20
31,21
31,22
31,54
31,55
31,56
31,57
31,58
31,59
31,60
31,61
31,62
31,63
31,64
31,65
31,66
31,67
31,68
31,69
31,70
31,71
32,20
32,21
32,22
32,32
32,33
32,34
32,54
32,55
32,56
32,57
32,58
32,59
32,60
32,61
32,62
32,63
32,64
32,65
32,66
32,67
32,68
32,69
32,70
32,71
33,32
33,33
33,34
33,54
33,55
33,56
34,54
34,55
34,56
35,53
35,54
35,55
36,53
36,54
36,55
37,75
37,76
37,77
38,2
38,3
38,4
38,75
38,76
38,77
39,2
39,3
39,4
39,20
39,21
39,22
39,75
39,76
39,77
39,80
39,81
39,82
39,83
39,84
39,85
39,86
39,87
39,88
39,89
40,20
40,21
40,22
40,75
40,76
40,77
40,80
40,81
40,82
40,83
40,84
40,85
40,86
40,87
40,88
40,89
40,93
40,94
40,95
41,20
41,21
41,22
41,54
41,55
41,56
41,80
41,81
41,82
41,83
41,84
41,85
41,86
41,87
41,88
41,89
41,93
41,94
41,95
42,20
42,21
42,22
42,32
42,33
42,34
42,54
42,55
42,56
42,80
42,81
42,82
42,83
42,84
42,85
42,86
42,87
42,88
42,89
43,32
43,33
43,34
43,54
43,55
43,56
43,80
43,81
43,82
43,83
43,84
43,85
43,86
43,87
43,88
43,89
44,54
44,55
44,56
45,5
45,6
45,7
45,8
45,9
45,10
45,11
45,12
45,13
45,14
45,30
45,31
45,32
45,33
45,34
45,35
45,36
45,37
45,38
45,39
45,40
45,41
45,42
45,43
45,44
45,53
45,54
45,55
46,5
46,6
46,7
46,8
46,9
46,10
46,11
46,12
46,13
46,14
46,30
46,31
46,32
46,33
46,34
46,35
46,36
46,37
46,38
46,39
46,40
46,41
46,42
46,43
46,44
46,53
46,54
46,55
47,5
47,6
47,7
47,8
47,9
47,10
47,11
47,12
47,13
47,14
47,30
47,31
47,32
47,33
47,34
47,35
47,36
47,37
47,38
47,39
47,40
47,41
47,42
47,43
47,44
47,75
47,76
47,77
48,2
48,3
48,4
48,5
48,6
48,7
48,8
48,9
48,10
48,11
48,12
48,13
48,14
48,75
48,76
48,77
49,2
49,3
49,4
49,5
49,6
49,7
49,8
49,9
49,10
49,11
49,12
49,13
49,14
49,20
49,21
49,22
49,75
49,76
49,77
50,20
50,21
50,22
50,75
50,76
50,77
50,93
50,94
50,95
51,20
51,21
51,22
51,54
51,55
51,56
51,93
51,94
51,95
52,20
52,21
52,22
52,32
52,33
52,34
52,54
52,55
52,56
53,32
53,33
53,34
53,54
53,55
53,56
54,54
54,55
54,56
55,53
55,54
55,55
56,53
56,54
56,55
57,75
57,76
57,77
58,2
58,3
58,4
58,75
58,76
58,77
58,78
58,79
58,80
58,81
58,82
58,83
58,84
58,85
58,86
58,87
58,88
58,89
58,90
58,91
58,92
59,2
59,3
59,4
59,5
59,6
59,7
59,8
59,9
59,10
59,11
59,12
59,13
59,14
59,15
59,16
59,17
59,18
59,19
59,20
59,21
59,22
59,75
59,76
59,77
59,78
59,79
59,80
59,81
59,82
59,83
59,84
59,85
59,86
59,87
59,88
59,89
59,90
59,91
59,92
60,5
60,6
60,7
60,8
60,9
60,10
60,11
60,12
60,13
60,14
60,15
60,16
60,17
60,18
60,19
60,20
60,21
60,22
60,75
60,76
60,77
60,78
60,79
60,80
60,81
60,82
60,83
60,84
60,85
60,86
60,87
60,88
60,89
60,90
60,91
60,92
60,93
60,94
60,95
61,5
61,6
61,7
61,8
61,9
61,10
61,11
61,12
61,13
61,14
61,15
61,16
61,17
61,18
61,19
61,20
61,21
61,22
61,54
61,55
61,56
61,93
61,94
61,95
62,20
62,21
62,22
62,32
62,33
62,34
62,54
62,55
62,56
62,57
62,58
62,59
62,60
62,61
62,62
62,63
62,64
62,65
62,66
62,67
62,68
62,69
62,70
62,71
63,32
63,33
63,34
63,54
63,55
63,56
63,57
63,58
63,59
63,60
63,61
63,62
63,63
63,64
63,65
63,66
63,67
63,68
63,69
63,70
63,71
64,2
64,3
64,4
64,5
64,6
64,7
64,8
64,9
64,10
64,11
64,12
64,13
64,14
64,15
64,16
64,17
64,18
64,19
64,54
64,55
64,56
64,57
64,58
64,59
64,60
64,61
64,62
64,63
64,64
64,65
64,66
64,67
64,68
64,69
64,70
64,71
65,2
65,3
65,4
65,5
65,6
65,7
65,8
65,9
65,10
65,11
65,12
65,13
65,14
65,15
65,16
65,17
65,18
65,19
65,53
65,54
65,55
65,93
65,94
65,95
66,5
66,6
66,7
66,8
66,9
66,10
66,11
66,12
66,13
66,14
66,15
66,16
66,17
66,18
66,19
66,53
66,54
66,55
66,93
66,94
66,95
67,75
67,76
67,77
68,2
68,3
68,4
68,75
68,76
68,77
69,2
69,3
69,4
69,20
69,21
69,22
69,40
69,41
69,42
69,43
69,44
69,45
69,46
69,47
69,48
69,49
69,75
