频段起点,时间起点
0,0
0,1
0,2
0,10
0,20
0,30
0,40
0,50
0,60
0,70
0,80
0,90
0,100
0,110
0,120
0,130
0,140
0,150
0,160
0,170
0,180
0,184
0,190
0,194
0,200
0,204
0,205
0,206
0,210
0,214
0,215
0,216
0,220
0,224
0,225
0,226
0,230
0,234
0,235
0,236
0,240
0,244
0,245
0,246
0,250
0,254
0,255
0,256
0,260
0,264
0,265
0,266
0,270
0,274
0,275
0,276
0,280
0,284
0,285
0,286
0,290
0,294
0,295
0,296
0,300
0,310
0,320
0,330
0,340
0,350
0,360
0,361
0,362
0,363
0,370
0,380
0,390
0,400
0,410
0,420
0,430
0,440
0,450
0,460
0,470
0,480
0,487
0,488
0,489
0,490
0,497
0,498
0,499
0,500
0,507
0,508
0,509
0,510
0,517
0,518
0,519
0,520
0,527
0,528
0,529
0,530
1,0
1,1
1,2
1,10
1,20
1,30
1,40
1,50
1,60
1,70
1,80
1,90
1,100
1,110
1,120
1,130
1,140
1,150
1,160
1,170
1,180
1,184
1,190
1,194
1,200
1,204
1,210
1,214
1,220
1,224
1,230
1,234
1,240
1,244
1,250
1,254
1,260
1,264
1,270
1,274
1,280
1,284
1,290
1,294
1,300
1,310
1,320
1,330
1,340
1,350
1,360
1,361
1,362
1,363
1,370
1,380
1,390
1,400
1,410
1,420
2,0
2,1
2,2
2,10
2,20
2,30
2,40
2,50
2,60
2,70
2,80
2,90
2,100
2,110
2,120
2,130
2,140
2,150
2,160
2,170
2,180
2,184
2,190
2,194
2,200
2,204
2,210
2,214
2,220
2,224
2,230
2,234
2,240
2,244
2,250
2,254
2,260
2,264
2,270
2,274
2,280
2,284
2,290
2,294
2,300
2,310
2,320
2,330
2,340
2,350
2,360
2,361
2,362
2,363
2,370
2,380
2,390
2,400
2,410
2,420
3,220
3,230
3,240
3,250
3,260
3,264
3,270
3,274
3,280
3,284
3,290
3,294
3,300
3,304
3,310
3,318
3,319
3,320
3,328
3,329
3,330
3,338
3,339
3,340
3,348
3,349
3,350
3,360
3,361
3,362
3,370
3,371
3,372
3,380
3,381
3,382
3,390
3,391
3,392
3,433
3,506
4,220
4,230
4,264
5,133
5,186
5,198
5,208
5,218
5,219
5,220
5,221
5,228
5,229
5,230
5,231
5,263
5,264
6,133
6,186
6,196
6,197
6,198
6,206
6,207
6,208
6,216
6,217
6,218
6,219
6,220
6,221
6,226
6,227
6,228
6,229
6,230
6,231
6,236
6,246
6,256
6,263
6,264
6,265
6,266
7,133
7,186
7,196
7,197
7,198
7,206
7,207
7,208
7,216
7,217
7,218
7,219
7,220
7,221
7,226
7,227
7,228
7,229
7,230
7,231
7,236
7,246
7,256
7,263
7,264
7,265
7,266
8,133
8,186
8,196
8,197
8,198
8,206
8,207
8,208
8,216
8,217
8,218
8,219
8,220
8,221
8,226
8,227
8,228
8,229
8,230
8,231
8,236
8,246
8,256
8,263
9,186
9,196
9,197
9,198
9,206
9,207
9,208
9,216
9,217
9,218
9,219
9,220
9,221
9,226
9,227
9,228
9,229
9,230
9,231
9,236
9,246
9,256
9,263
10,186
10,196
10,197
10,198
10,206
10,207
10,208
10,216
10,217
10,218
10,219
10,220
10,221
10,226
10,227
10,228
10,229
10,230
10,231
10,236
10,246
10,256
10,263
11,186
11,196
11,197
11,198
11,206
11,207
11,208
11,216
11,217
11,218
11,219
11,220
11,221
11,226
11,227
11,228
11,229
11,230
11,231
11,236
11,246
11,256
11,263
12,186
12,196
12,197
12,198
12,206
12,207
12,208
12,216
12,217
12,218
12,219
12,220
12,221
12,226
12,227
12,228
12,229
12,230
12,231
12,236
12,246
12,256
12,263
13,186
13,196
13,197
13,198
13,206
13,207
13,208
13,216
13,217
13,218
13,219
13,220
13,221
13,226
13,227
13,228
13,229
13,230
13,231
13,236
13,246
13,256
13,263
14,133
14,186
14,196
14,206
14,216
14,220
14,221
14,226
14,230
14,231
14,236
14,246
14,256
15,133
15,176
15,186
15,196
15,206
15,216
15,226
15,236
15,246
15,256
16,133
16,176
16,186
16,196
16,206
16,216
16,226
16,236
16,246
16,256
17,133
17,176
17,186
17,196
17,206
17,216
17,226
17,236
17,246
17,256
18,176
18,186
18,196
18,206
18,216
18,226
18,236
18,246
18,256
18,519
18,520
18,521
18,529
18,530
18,531
19,176
19,186
19,196
19,206
19,216
19,226
19,263
19,520
19,521
19,530
19,531
20,5
