新增用频装备序号,频段起点,时间起点,频段区间,时间区间
1,2,0,"[2,5)","[0,2)"
2,72,0,"[72,75)","[0,2)"
3,2,2,"[2,5)","[2,4)"
4,97,2,"[97,100)","[2,4)"
5,97,4,"[97,100)","[4,6)"
6,97,6,"[97,100)","[6,8)"
7,53,7,"[53,56)","[7,9)"
8,97,8,"[97,100)","[8,10)"
9,54,9,"[54,57)","[9,11)"
10,29,11,"[29,32)","[11,13)"
11,29,13,"[29,32)","[13,15)"
12,93,28,"[93,96)","[28,30)"
13,23,30,"[23,26)","[30,32)"
14,50,30,"[50,53)","[30,32)"
15,23,32,"[23,26)","[32,34)"
16,20,47,"[20,23)","[47,49)"
17,23,48,"[23,26)","[48,50)"
18,75,51,"[75,78)","[51,53)"
19,72,54,"[72,75)","[54,56)"
20,20,55,"[20,23)","[55,57)"
21,72,56,"[72,75)","[56,58)"
22,72,58,"[72,75)","[58,60)"
23,23,64,"[23,26)","[64,66)"
24,24,66,"[24,27)","[66,68)"
25,27,77,"[27,30)","[77,79)"
26,27,79,"[27,30)","[79,81)"
27,51,82,"[51,54)","[82,84)"
28,26,91,"[26,29)","[91,93)"
29,26,93,"[26,29)","[93,95)"
30,75,93,"[75,78)","[93,95)"
31,50,96,"[50,53)","[96,98)"
32,93,102,"[93,96)","[102,104)"
33,72,120,"[72,75)","[120,122)"
34,97,127,"[97,100)","[127,129)"
35,5,133,"[5,8)","[133,135)"
36,8,133,"[8,11)","[133,135)"
37,14,133,"[14,17)","[133,135)"
38,17,133,"[17,20)","[133,135)"
39,0,150,"[0,3)","[150,152)"
40,20,150,"[20,23)","[150,152)"
41,93,160,"[93,96)","[160,162)"
42,97,183,"[97,100)","[183,185)"
43,72,185,"[72,75)","[185,187)"
44,72,187,"[72,75)","[187,189)"
45,75,187,"[75,78)","[187,189)"
46,45,189,"[45,48)","[189,191)"
47,75,189,"[75,78)","[189,191)"
48,49,190,"[49,52)","[190,192)"
49,75,195,"[75,78)","[195,197)"
50,4,220,"[4,7)","[220,222)"
51,19,226,"[19,22)","[226,228)"
52,6,227,"[6,9)","[227,229)"
53,13,228,"[13,16)","[228,230)"
54,7,229,"[7,10)","[229,231)"
55,10,229,"[10,13)","[229,231)"
56,97,229,"[97,100)","[229,231)"
57,8,231,"[8,11)","[231,233)"
58,11,231,"[11,14)","[231,233)"
59,14,231,"[14,17)","[231,233)"
60,49,234,"[49,52)","[234,236)"
61,0,244,"[0,3)","[244,246)"
62,10,256,"[10,13)","[256,258)"
63,13,256,"[13,16)","[256,258)"
64,16,256,"[16,19)","[256,258)"
65,7,263,"[7,10)","[263,265)"
66,10,263,"[10,13)","[263,265)"
67,13,263,"[13,16)","[263,265)"
68,19,263,"[19,22)","[263,265)"
69,7,265,"[7,10)","[265,267)"
70,57,266,"[57,60)","[266,268)"
71,97,271,"[97,100)","[271,273)"
72,0,280,"[0,3)","[280,282)"
73,0,296,"[0,3)","[296,298)"
74,93,300,"[93,96)","[300,302)"
75,3,304,"[3,6)","[304,306)"
76,73,316,"[73,76)","[316,318)"
77,41,319,"[41,44)","[319,321)"
78,94,324,"[94,97)","[324,326)"
79,46,326,"[46,49)","[326,328)"
80,52,330,"[52,55)","[330,332)"
81,94,342,"[94,97)","[342,344)"
82,3,348,"[3,6)","[348,350)"
83,52,348,"[52,55)","[348,350)"
84,46,358,"[46,49)","[358,360)"
85,49,359,"[49,52)","[359,361)"
86,0,362,"[0,3)","[362,364)"
87,49,365,"[49,52)","[365,367)"
88,70,372,"[70,73)","[372,374)"
89,3,391,"[3,6)","[391,393)"
90,91,392,"[91,94)","[392,394)"
91,97,398,"[97,100)","[398,400)"
92,70,400,"[70,73)","[400,402)"
93,21,403,"[21,24)","[403,405)"
94,0,410,"[0,3)","[410,412)"
95,97,410,"[97,100)","[410,412)"
96,73,411,"[73,76)","[411,413)"
97,3,433,"[3,6)","[433,435)"
98,20,466,"[20,23)","[466,468)"
99,49,494,"[49,52)","[494,496)"
100,73,495,"[73,76)","[495,497)"
101,49,496,"[49,52)","[496,498)"
102,3,506,"[3,6)","[506,508)"
103,18,519,"[18,21)","[519,521)"
104,21,522,"[21,24)","[522,524)"
105,85,522,"[85,88)","[522,524)"
106,88,522,"[88,91)","[522,524)"
107,91,522,"[91,94)","[522,524)"
108,94,522,"[94,97)","[522,524)"
109,97,522,"[97,100)","[522,524)"
110,24,523,"[24,27)","[523,525)"
111,27,523,"[27,30)","[523,525)"
112,67,523,"[67,70)","[523,525)"
113,70,523,"[70,73)","[523,525)"
114,21,524,"[21,24)","[524,526)"
115,24,525,"[24,27)","[525,527)"
116,70,525,"[70,73)","[525,527)"
117,91,525,"[91,94)","[525,527)"
118,94,526,"[94,97)","[526,528)"
119,97,526,"[97,100)","[526,528)"
120,0,527,"[0,3)","[527,529)"
121,27,527,"[27,30)","[527,529)"
122,72,527,"[72,75)","[527,529)"
123,67,528,"[67,70)","[528,530)"
124,94,528,"[94,97)","[528,530)"
125,97,528,"[97,100)","[528,530)"
126,0,529,"[0,3)","[529,531)"
127,24,529,"[24,27)","[529,531)"
128,40,529,"[40,43)","[529,531)"
129,44,529,"[44,47)","[529,531)"
130,72,529,"[72,75)","[529,531)"
131,85,529,"[85,88)","[529,531)"
132,88,529,"[88,91)","[529,531)"
133,21,530,"[21,24)","[530,532)"
134,30,530,"[30,33)","[530,532)"
135,47,530,"[47,50)","[530,532)"
136,97,530,"[97,100)","[530,532)"
137,18,531,"[18,21)","[531,533)"
138,33,531,"[33,36)","[531,533)"
139,36,531,"[36,39)","[531,533)"
140,39,531,"[39,42)","[531,533)"
141,42,531,"[42,45)","[531,533)"
