R,N3_lower_bound,next_threshold_to_prove,next_threshold_status,N3_global_upper_bound,total_active_lower_bound,A_keep_adjust_revoke,B_keep_adjust_revoke,C_keep_adjust_revoke,A_active,B_active,M,q2_status,q2_optimality,q2_validation_status,q2_validation_errors,q3_status,q3_optimality,q3_conditional_optimum_proved,q3_threshold_plus_one_infeasible_proved,joint_frontier_status,q2_path,q3_path,independent_audit_path
6,187,188,UNKNOWN_120S,,331,1/19/0,0/36/4,0/88/2,20,36,143,JOINT_FEASIBLE_INCUMBENT,JOINT_NOT_PROVED,PASS,[],OPTIMAL,PROVED,True,True,OPEN_GLOBAL_UPPER_BOUND,outputs\q2_q3_joint_cp\R06\q2_results.json,outputs\q2_q3_global_frontier\R06_joint187_fixed_q3\results.json,outputs\q2_q3_global_frontier\R06_joint187_fixed_q3\independent_pairwise_audit.json
7,198,199,NOT_RUN,,341,1/19/0,0/35/5,0/88/2,20,35,142,JOINT_FEASIBLE_GREEDY_WITNESS,NOT_PROVED,PASS,[],OPTIMAL,PROVED,True,True,OPEN_GLOBAL_UPPER_BOUND,outputs\q2_q3_global_frontier\greedy_B\R07\q2_results.json,outputs\q2_q3_global_frontier\greedy_B\R07\q3_results.json,outputs\q2_q3_global_frontier\greedy_B\R07\independent_pairwise_audit.json
8,209,210,NOT_RUN,,351,1/19/0,0/34/6,0/88/2,20,34,141,JOINT_FEASIBLE_GREEDY_WITNESS,NOT_PROVED,PASS,[],OPTIMAL,PROVED,True,True,OPEN_GLOBAL_UPPER_BOUND,outputs\q2_q3_global_frontier\greedy_B\R08\q2_results.json,outputs\q2_q3_global_frontier\greedy_B\R08\q3_results.json,outputs\q2_q3_global_frontier\greedy_B\R08\independent_pairwise_audit.json
9,215,216,NOT_RUN,,356,1/19/0,0/33/7,0/88/2,20,33,140,JOINT_FEASIBLE_GREEDY_WITNESS,NOT_PROVED,PASS,[],OPTIMAL,PROVED,True,True,OPEN_GLOBAL_UPPER_BOUND,outputs\q2_q3_global_frontier\greedy_B\R09\q2_results.json,outputs\q2_q3_global_frontier\greedy_B\R09\q3_results.json,outputs\q2_q3_global_frontier\greedy_B\R09\independent_pairwise_audit.json
10,226,227,NOT_RUN,,366,1/19/0,0/32/8,0/88/2,20,32,139,JOINT_FEASIBLE_GREEDY_WITNESS,NOT_PROVED,PASS,[],OPTIMAL,PROVED,True,True,OPEN_GLOBAL_UPPER_BOUND,outputs\q2_q3_global_frontier\greedy_B\R10\q2_results.json,outputs\q2_q3_global_frontier\greedy_B\R10\q3_results.json,outputs\q2_q3_global_frontier\greedy_B\R10\independent_pairwise_audit.json
11,231,232,NOT_RUN,,370,1/19/0,0/31/9,0/88/2,20,31,138,JOINT_FEASIBLE_GREEDY_WITNESS,NOT_PROVED,PASS,[],OPTIMAL,PROVED,True,True,OPEN_GLOBAL_UPPER_BOUND,outputs\q2_q3_global_frontier\greedy_B\R11\q2_results.json,outputs\q2_q3_global_frontier\greedy_B\R11\q3_results.json,outputs\q2_q3_global_frontier\greedy_B\R11\independent_pairwise_audit.json
12,236,237,NOT_RUN,,374,1/19/0,0/30/10,0/88/2,20,30,137,JOINT_FEASIBLE_GREEDY_WITNESS,NOT_PROVED,PASS,[],OPTIMAL,PROVED,True,True,OPEN_GLOBAL_UPPER_BOUND,outputs\q2_q3_global_frontier\greedy_B\R12\q2_results.json,outputs\q2_q3_global_frontier\greedy_B\R12\q3_results.json,outputs\q2_q3_global_frontier\greedy_B\R12\independent_pairwise_audit.json
13,243,244,NOT_RUN,,380,1/19/0,0/29/11,0/88/2,20,29,136,JOINT_FEASIBLE_GREEDY_WITNESS,NOT_PROVED,PASS,[],OPTIMAL,PROVED,True,True,OPEN_GLOBAL_UPPER_BOUND,outputs\q2_q3_global_frontier\greedy_B_continue\R13\q2_results.json,outputs\q2_q3_global_frontier\greedy_B_continue\R13\q3_results.json,outputs\q2_q3_global_frontier\greedy_B_continue\R13\independent_pairwise_audit.json
14,248,249,NOT_RUN,,384,1/19/0,0/28/12,0/88/2,20,28,135,JOINT_FEASIBLE_GREEDY_WITNESS,NOT_PROVED,PASS,[],OPTIMAL,PROVED,True,True,OPEN_GLOBAL_UPPER_BOUND,outputs\q2_q3_global_frontier\greedy_B_continue\R14\q2_results.json,outputs\q2_q3_global_frontier\greedy_B_continue\R14\q3_results.json,outputs\q2_q3_global_frontier\greedy_B_continue\R14\independent_pairwise_audit.json
15,259,260,NOT_RUN,,394,1/19/0,0/27/13,0/88/2,20,27,134,JOINT_FEASIBLE_GREEDY_WITNESS,NOT_PROVED,PASS,[],OPTIMAL,PROVED,True,True,OPEN_GLOBAL_UPPER_BOUND,outputs\q2_q3_global_frontier\greedy_B_continue\R15\q2_results.json,outputs\q2_q3_global_frontier\greedy_B_continue\R15\q3_results.json,outputs\q2_q3_global_frontier\greedy_B_continue\R15\independent_pairwise_audit.json
