equipment_id,cls,f_lo,f_hi,t_first_lo,t_first_hi,gap,use_count,band_width,time_width
A001,A,80,90,35,40,60,3,10,5
A002,A,5,15,45,50,60,3,10,5
A003,A,20,30,75,80,60,3,10,5
A004,A,35,45,95,100,60,3,10,5
A005,A,60,70,125,130,60,3,10,5
A006,A,40,50,0,5,60,3,10,5
A007,A,73,83,175,180,60,3,10,5
A008,A,15,25,211,216,60,3,10,5
A009,A,65,75,228,233,60,3,10,5
A010,A,30,40,265,270,60,3,10,5
A011,A,60,70,273,278,60,3,10,5
A012,A,40,50,300,305,60,3,10,5
A013,A,82,92,190,195,60,3,10,5
A014,A,2,12,348,353,60,3,10,5
A015,A,25,35,385,390,60,3,10,5
A016,A,30,40,415,420,60,3,10,5
A017,A,50,60,432,437,60,3,10,5
A018,A,45,55,451,456,60,3,10,5
A019,A,75,85,485,490,60,3,10,5
A020,A,10,20,375,380,60,3,10,5
B001,B,80,95,15,18,40,4,15,3
B002,B,65,80,27,30,40,4,15,3
B003,B,50,65,30,33,40,4,15,3
B004,B,30,45,45,48,40,4,15,3
B005,B,5,20,57,60,40,4,15,3
B006,B,85,100,95,98,40,4,15,3
B007,B,60,75,62,65,40,4,15,3
B008,B,40,55,85,88,40,4,15,3
B009,B,22,37,77,80,40,4,15,3
B010,B,5,20,24,27,40,4,15,3
B011,B,70,85,155,158,40,4,15,3
B012,B,55,70,167,170,40,4,15,3
B013,B,45,60,180,183,40,4,15,3
B014,B,30,45,185,188,40,4,15,3
B015,B,15,30,197,200,40,4,15,3
B016,B,85,100,235,238,40,4,15,3
B017,B,60,75,202,205,40,4,15,3
B018,B,40,55,225,228,40,4,15,3
B019,B,25,40,217,220,40,4,15,3
B020,B,0,15,124,127,40,4,15,3
B021,B,80,95,295,298,40,4,15,3
B022,B,65,80,307,310,40,4,15,3
B023,B,50,65,310,313,40,4,15,3
B024,B,30,45,305,308,40,4,15,3
B025,B,15,30,337,340,40,4,15,3
B026,B,80,95,375,378,40,4,15,3
B027,B,65,80,342,345,40,4,15,3
B028,B,45,60,365,368,40,4,15,3
B029,B,30,45,357,360,40,4,15,3
B030,B,15,30,384,387,40,4,15,3
B031,B,83,98,415,418,40,4,15,3
B032,B,67,82,427,430,40,4,15,3
B033,B,52,67,430,433,40,4,15,3
B034,B,30,45,445,448,40,4,15,3
B035,B,15,30,457,460,40,4,15,3
B036,B,0,15,495,498,40,4,15,3
B037,B,58,73,462,465,40,4,15,3
B038,B,40,55,485,488,40,4,15,3
B039,B,20,35,477,480,40,4,15,3
B040,B,5,20,424,427,40,4,15,3
C001,C,90,93,40,42,8,12,3,2
C002,C,82,85,27,29,8,12,3,2
C003,C,75,78,29,31,8,12,3,2
C004,C,60,63,31,33,8,12,3,2
C005,C,55,58,33,35,8,12,3,2
