SHEET: Sheet1 rows=151 cols=5
('用频装备编号', '频段区间', '时间区间', '间隔时长', '使用次数')
('A001', '[80,90)', '[35,40)', 60, 3)
('A002', '[5,15)', '[45,50)', 60, 3)
('A003', '[20,30)', '[75,80)', 60, 3)
('A004', '[35,45)', '[95,100)', 60, 3)
('A005', '[60,70)', '[125,130)', 60, 3)
('A006', '[40,50)', '[0,5)', 60, 3)
('A007', '[73,83)', '[175,180)', 60, 3)
('A008', '[15,25)', '[211,216)', 60, 3)
('A009', '[65,75)', '[228,233)', 60, 3)
('A010', '[30,40)', '[265,270)', 60, 3)
('A011', '[60,70)', '[273,278)', 60, 3)
('A012', '[40,50)', '[300,305)', 60, 3)
('A013', '[82,92)', '[190,195)', 60, 3)
('A014', '[2,12)', '[348,353)', 60, 3)
('A015', '[25,35)', '[385,390)', 60, 3)
('A016', '[30,40)', '[415,420)', 60, 3)
('A017', '[50,60)', '[432,437)', 60, 3)
('A018', '[45,55)', '[451,456)', 60, 3)
('A019', '[75,85)', '[485,490)', 60, 3)
('A020', '[10,20)', '[375,380)', 60, 3)
('B001', '[80,95)', '[15,18)', 40, 4)
('B002', '[65,80)', '[27,30)', 40, 4)
('B003', '[50,65)', '[30,33)', 40, 4)
('B004', '[30,45)', '[45,48)', 40, 4)
('B005', '[5,20)', '[57,60)', 40, 4)
('B006', '[85,100)', '[95,98)', 40, 4)
('B007', '[60,75)', '[62,65)', 40, 4)
('B008', '[40,55)', '[85,88)', 40, 4)
('B009', '[22,37)', '[77,80)', 40, 4)
('B010', '[5,20)', '[24,27)', 40, 4)
('B011', '[70,85)', '[155,158)', 40, 4)
('B012', '[55,70)', '[167,170)', 40, 4)
('B013', '[45,60)', '[180,183)', 40, 4)
('B014', '[30,45)', '[185,188)', 40, 4)
('B015', '[15,30)', '[197,200)', 40, 4)
('B016', '[85,100)', '[235,238)', 40, 4)
('B017', '[60,75)', '[202,205)', 40, 4)
('B018', '[40,55)', '[225,228)', 40, 4)
('B019', '[25,40)', '[217,220)', 40, 4)
('B020', '[0,15)', '[124,127)', 40, 4)
('B021', '[80,95)', '[295,298)', 40, 4)
('B022', '[65,80)', '[307,310)', 40, 4)
('B023', '[50,65)', '[310,313)', 40, 4)
('B024', '[30,45)', '[305,308)', 40, 4)
('B025', '[15,30)', '[337,340)', 40, 4)
('B026', '[80,95)', '[375,378)', 40, 4)
('B027', '[65,80)', '[342,345)', 40, 4)
('B028', '[45,60)', '[365,368)', 40, 4)
('B029', '[30,45)', '[357,360)', 40, 4)
