paper_id,contest,year,group,problem,team_or_public_id,title,source_url,award_evidence_url,source_type,provenance,award_status,fulltext_path,identity_or_sha256,text_read_status,visually_checked_pages,read_status,access_date,license_or_reuse_note
CUMCM2025-A196,CUMCM,2025,本科,A,A196,多情形下无人机烟幕遮蔽策略的建模与优化研究,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025atlw/251101/2022729.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2025-A196,CUMCM:2025:official-display:A196,BODY_READ,P1-35；五类功能页均查看,COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,98张官方展示原页已完整取得；正文主线和五类功能页已完成设计阅读；附录范围、未读项和证据边界见cards.jsonl；official_showcase_design可用但奖项UNVERIFIED；仅本地研究，不转载。
CUMCM2025-B060,CUMCM,2025,本科,B,B060,红外干涉法测量外延层厚度的建模分析,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025btlw/251101/2022733.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2025-B060,CUMCM:2025:official-display:B060,BODY_READ,"1–33, 72",COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,72张官方展示原页已完整取得；正文主线和五类功能页已完成设计阅读；附录范围、未读项和证据边界见cards.jsonl；official_showcase_design可用但奖项UNVERIFIED；仅本地研究，不转载。
CUMCM2025-B157,CUMCM,2025,本科,B,B157,碳化硅外延层厚度的双光束和多光束干涉法测量研究,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025btlw/251107/2023197.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2025-B157,CUMCM:2025:official-display:B157,BODY_READ,"1–32, 67",COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,67张官方展示原页已完整取得；正文主线和五类功能页已完成设计阅读；附录范围、未读项和证据边界见cards.jsonl；official_showcase_design可用但奖项UNVERIFIED；仅本地研究，不转载。
CUMCM2025-C132,CUMCM,2025,本科,C,C132,基于统计建模与元学习的 NIPT 检测决策优化与异常识别,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025ctlw/251101/2022740.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2025-C132,CUMCM:2025:official-display:C132,BODY_READ,"1–44, 65",COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,65张官方展示原页已完整取得；正文主线和五类功能页已完成设计阅读；附录范围、未读项和证据边界见cards.jsonl；official_showcase_design可用但奖项UNVERIFIED；仅本地研究，不转载。
CUMCM2025-C023,CUMCM,2025,本科,C,C023,基于混合效应模型的 NIPT 时点优化与胎儿异常判定,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025ctlw/251101/2022736.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2025-C023,CUMCM:2025:official-display:C023,BODY_READ,"1–28, 122",COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,122张官方展示原页已完整取得；正文主线和五类功能页已完成设计阅读；附录范围、未读项和证据边界见cards.jsonl；official_showcase_design可用但奖项UNVERIFIED；仅本地研究，不转载。
CUMCM2025-D037,CUMCM,2025,高职高专,D,D037,矿井突水水流漫延模型与逃生方案问题,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025dtlw/251101/2022742.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2025-D037,CUMCM:2025:official-display:D037,BODY_READ,physical=printed:1-23;36-37,COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,37张原始页面图已取得；正文P1-17读完并完成五类功能页视查；参考文献与附录边界见卡片；附录未逐行读未运行；official_showcase_design可用但奖项UNVERIFIED；仅本地研究不转载。
CUMCM2025-E030,CUMCM,2025,高职高专,E,E030,基于姿态识别的 AI 辅助智能体测研究,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025etlw/251101/2022744.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2025-E030,CUMCM:2025:official-display:E030,BODY_READ,physical=printed:1-24;36,COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,36张原始页面图已取得；正文P1-20与参考文献P21读完并完成五类功能页视查；附录仅首尾定位未逐行读未运行；official_showcase_design可用但奖项UNVERIFIED；仅本地研究不转载。
CUMCM2024-A163,CUMCM,2024,本科,A,A163,基于几何模型的板凳龙运动路径问题,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977935.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2024-A163,CUMCM:2024:official-display:A163,BODY_READ,"1–32, 45",COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,45张官方展示原页已完整取得；正文主线和五类功能页已完成设计阅读；附录范围、未读项和证据边界见cards.jsonl；official_showcase_design可用但奖项UNVERIFIED；仅本地研究，不转载。
CUMCM2024-A242,CUMCM,2024,本科,A,A242,基于动态搜索的“板凳龙”运动状态及路线研究,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977939.shtml,,official_showcase,unverified,UNVERIFIED,references/papers/CUMCM2024-A242,CUMCM:2024:official-display:A242,BODY_READ,"1–32, 58",COMPLETE_WITH_DECLARED_SCOPE,2026-09-09,58张官方展示原页已完整取得；正文主线和五类功能页已完成设计阅读；附录范围、未读项和证据边界见cards.jsonl；official_showcase_design可用但奖项UNVERIFIED；仅本地研究，不转载。
CUMCM2024-A178,CUMCM,2024,本科,A,A178,2024 CUMCM A178 官方展示（正文标题待读）,https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977937.shtml,,official_showcase,unverified,UNVERIFIED,,CUMCM:2024:official-display:A178,NOT_READ,,INDEXED,2026-09-09,官方公开页面；禁止未经许可转载。仅本地研究。展示身份已核实；国一等级尚需同篇证据，不自动推断。
